clip_id,title,decision,confidence,replacement_clip_id,replacement_title,rationale
clip_013,My Six Tools for Teaching Online,replace,0.96,mit_ocw_linear_eq_180_240,mit ocw linear eq 180 240,"Dropped because the clip is mostly setup-heavy, interview/presentation-adjacent, or too generic for teacher-facing nonverbal calibration; replaced with a more visible lecture-style local clip from /workspace/clips."
clip_014,Best Whiteboard Pen tool for Teachers in Windows 10,replace,0.96,mit_ocw_microecon_180_240,mit ocw microecon 180 240,"Dropped because the clip is mostly setup-heavy, interview/presentation-adjacent, or too generic for teacher-facing nonverbal calibration; replaced with a more visible lecture-style local clip from /workspace/clips."
clip_015,Whiteboard Teaching Setup With Mobile Camera (No Mic) - Low Cost (Hindi) For Online Classes,keep,0.84,,,Strong teacher visibility and lecture fit; the clip still adds useful nonverbal coverage without being redundant with the replacements.
clip_016,AI Whiteboard With Content – Teach With AI Smart Board For Teaching – AI Digital Board For Classroom,keep,0.84,,,Strong teacher visibility and lecture fit; the clip still adds useful nonverbal coverage without being redundant with the replacements.
clip_017,How to Improve Teaching Skills | पढ़ाने की कला | Presentation/Teaching Skills for Teacher,keep,0.94,,,Strong teacher visibility and lecture fit; the clip still adds useful nonverbal coverage without being redundant with the replacements.
clip_018,The Gospel of John: Overview | Whiteboard Bible Study,keep,0.84,,,Strong teacher visibility and lecture fit; the clip still adds useful nonverbal coverage without being redundant with the replacements.
clip_019,You ONLY Need an iPad: The Ultimate Teaching Setup,replace,0.96,mit_ocw_pigeonhole_240_300,mit ocw pigeonhole 240 300,"Dropped because the clip is mostly setup-heavy, interview/presentation-adjacent, or too generic for teacher-facing nonverbal calibration; replaced with a more visible lecture-style local clip from /workspace/clips."
clip_020,Boya BY M1 to Teach Online With Whiteboard and Smartphone | Online Educational Video Setup Low Cost,replace,0.96,mit_ocw_power_elec_240_300,mit ocw power elec 240 300,"Dropped because the clip is mostly setup-heavy, interview/presentation-adjacent, or too generic for teacher-facing nonverbal calibration; replaced with a more visible lecture-style local clip from /workspace/clips."
clip_021,"Capturing Digital Whiteboard Notes, Annotations and Lectures for Online Learning",keep,0.84,,,Strong teacher visibility and lecture fit; the clip still adds useful nonverbal coverage without being redundant with the replacements.
clip_022,Paul's Letters: a Quick Overview | Whiteboard Bible Study,keep,0.84,,,Strong teacher visibility and lecture fit; the clip still adds useful nonverbal coverage without being redundant with the replacements.
clip_023,HOW TO TEACH PHONICS TO YOUR CHILDREN THE FUN WAY - The Sounds of Alphabet,keep,0.84,,,Strong teacher visibility and lecture fit; the clip still adds useful nonverbal coverage without being redundant with the replacements.
clip_024,How to Lecture EFFECTIVELY (and NOT Put Students to Sleep),keep,0.94,,,Strong teacher visibility and lecture fit; the clip still adds useful nonverbal coverage without being redundant with the replacements.
clip_025,The Day I Became a GOOD TEACHER,replace,0.91,mit_ocw_psychology_240_300,mit ocw psychology 240 300,"Dropped because the clip is mostly setup-heavy, interview/presentation-adjacent, or too generic for teacher-facing nonverbal calibration; replaced with a more visible lecture-style local clip from /workspace/clips."
clip_026,How to Be a Confident Teacher: 16 Tips to Unlock Your Potential,replace,0.91,stanford_cs230_240_300,stanford cs230 240 300,"Dropped because the clip is mostly setup-heavy, interview/presentation-adjacent, or too generic for teacher-facing nonverbal calibration; replaced with a more visible lecture-style local clip from /workspace/clips."
clip_027,Ep - 01 : Effective teaching skills | Talk in English | Rajesh Aggarwal | Leadership Mentor,replace,0.91,stanford_give_lecture_180_240,stanford give lecture 180 240,"Dropped because the clip is mostly setup-heavy, interview/presentation-adjacent, or too generic for teacher-facing nonverbal calibration; replaced with a more visible lecture-style local clip from /workspace/clips."
clip_028,"The Science of Teaching, Effective Education, and Great Schools",replace,0.91,stanford_hbb_300_360,stanford hbb 300 360,"Dropped because the clip is mostly setup-heavy, interview/presentation-adjacent, or too generic for teacher-facing nonverbal calibration; replaced with a more visible lecture-style local clip from /workspace/clips."
clip_029,BODY LANGUAGE FOR KILLER PRESENTATIONS! 🔥,keep,0.94,,,Strong teacher visibility and lecture fit; the clip still adds useful nonverbal coverage without being redundant with the replacements.
clip_030,Take a Seat in the Harvard MBA Case Classroom,keep,0.84,,,Strong teacher visibility and lecture fit; the clip still adds useful nonverbal coverage without being redundant with the replacements.
clip_031,How To Quiet A Noisy Class - Classroom Management Strategies,keep,0.94,,,Strong teacher visibility and lecture fit; the clip still adds useful nonverbal coverage without being redundant with the replacements.
clip_032,How to use Blackboard || Teacher Training || Blackboard use in class || Blackboard writing ||Teacher,keep,0.94,,,Strong teacher visibility and lecture fit; the clip still adds useful nonverbal coverage without being redundant with the replacements.
clip_033,How to Start a Speech,replace,0.89,stanford_last_lecture_180_240,stanford last lecture 180 240,"Dropped because the clip is mostly setup-heavy, interview/presentation-adjacent, or too generic for teacher-facing nonverbal calibration; replaced with a more visible lecture-style local clip from /workspace/clips."
clip_034,British Council - Teaching Speaking Techniques (John Kay),keep,0.84,,,Strong teacher visibility and lecture fit; the clip still adds useful nonverbal coverage without being redundant with the replacements.
clip_035,How to give demo for teacher job | Body Language for Demo class for teaching interview | PD Classes,replace,0.91,stanford_prog_method_240_300,stanford prog method 240 300,"Dropped because the clip is mostly setup-heavy, interview/presentation-adjacent, or too generic for teacher-facing nonverbal calibration; replaced with a more visible lecture-style local clip from /workspace/clips."
clip_036,Teaching Adults English: Your First Lesson,keep,0.94,,,Strong teacher visibility and lecture fit; the clip still adds useful nonverbal coverage without being redundant with the replacements.
clip_037,Demo Class for Kindergarten ||How to teach numbers || Math Demo Class For Pre Primary | Numbers Song,keep,0.84,,,Strong teacher visibility and lecture fit; the clip still adds useful nonverbal coverage without being redundant with the replacements.
clip_038,CLASS 1 || ENGLISH  || THIS THAT || GURUKULAM ONLINE CLASSES,replace,0.89,yale_deconstruction_180_240,yale deconstruction 180 240,"Dropped because the clip is mostly setup-heavy, interview/presentation-adjacent, or too generic for teacher-facing nonverbal calibration; replaced with a more visible lecture-style local clip from /workspace/clips."
clip_039,EDUCATIONAL GAMES | CLASSROOM GAMES | ACTIVITIES | Teacher's Corner PH,keep,0.84,,,Strong teacher visibility and lecture fit; the clip still adds useful nonverbal coverage without being redundant with the replacements.
clip_040,Introduce Yourself in English in School/College/University. Tips for Effective Self-Introduction,replace,0.91,yale_evolution_180_240,yale evolution 180 240,"Dropped because the clip is mostly setup-heavy, interview/presentation-adjacent, or too generic for teacher-facing nonverbal calibration; replaced with a more visible lecture-style local clip from /workspace/clips."
clip_041,Learn to deliver PRESENTATIONS confidently in ENGLISH! 🔥,replace,0.91,yale_finance_240_300,yale finance 240 300,"Dropped because the clip is mostly setup-heavy, interview/presentation-adjacent, or too generic for teacher-facing nonverbal calibration; replaced with a more visible lecture-style local clip from /workspace/clips."
clip_042,TEACHER Interview Questions and Answers!,replace,0.91,yale_linguistics_180_240,yale linguistics 180 240,"Dropped because the clip is mostly setup-heavy, interview/presentation-adjacent, or too generic for teacher-facing nonverbal calibration; replaced with a more visible lecture-style local clip from /workspace/clips."
clip_043,How to give Demo Lecture in Interview | Assistant Professor/ Lectureship #jkpsc #assistantprofessor,keep,0.84,,,Strong teacher visibility and lecture fit; the clip still adds useful nonverbal coverage without being redundant with the replacements.
clip_044,Classroom Strategies For Managing Difficult Behaviour,keep,0.94,,,Strong teacher visibility and lecture fit; the clip still adds useful nonverbal coverage without being redundant with the replacements.
clip_045,Biology Professor uses Flipped Classroom method,keep,0.84,,,Strong teacher visibility and lecture fit; the clip still adds useful nonverbal coverage without being redundant with the replacements.
clip_046,“Cultivating Intrinsic Motivation and Creativity in the Classroom” | Beth Hennessey | TEDxSausalito,replace,0.89,yale_newtonian_240_300,yale newtonian 240 300,"Dropped because the clip is mostly setup-heavy, interview/presentation-adjacent, or too generic for teacher-facing nonverbal calibration; replaced with a more visible lecture-style local clip from /workspace/clips."
clip_047,Teaching kids about body language | JOE NAVARRO,replace,0.89,yale_power_politics_180_240,yale power politics 180 240,"Dropped because the clip is mostly setup-heavy, interview/presentation-adjacent, or too generic for teacher-facing nonverbal calibration; replaced with a more visible lecture-style local clip from /workspace/clips."
clip_048,HOW TO Give a Great Presentation - 7 Presentation Skills and Tips to Leave an Impression,replace,0.89,yale_quantum_240_300,yale quantum 240 300,"Dropped because the clip is mostly setup-heavy, interview/presentation-adjacent, or too generic for teacher-facing nonverbal calibration; replaced with a more visible lecture-style local clip from /workspace/clips."
clip_049,How to Practice a Speech or Presentation,replace,0.89,yale_rome_180_240,yale rome 180 240,"Dropped because the clip is mostly setup-heavy, interview/presentation-adjacent, or too generic for teacher-facing nonverbal calibration; replaced with a more visible lecture-style local clip from /workspace/clips."
clip_050,How to Start a Speech: The Best (and Worst) Speech Openers,replace,0.89,cs50_business_150_210,cs50 business 150 210,"Dropped because the clip is mostly setup-heavy, interview/presentation-adjacent, or too generic for teacher-facing nonverbal calibration; replaced with a more visible lecture-style local clip from /workspace/clips."
